,neither,hate,offensive,cw_tweet,hate_score,offensive_score,neither_score,POS,NEG,ANG,nw
6641,0.0,1.0,0.0,@matt_chu22 @ryanriehle agree ethiopian starvin looking nigger ass africa buyfoodlittleguy,0.8120042305855873,0.8049905824769952,0.6767816644515143,0.1,0.0,0.0,10
3448,0.0,1.0,0.0,@idisdummies speak coherent sentence sounding like nig seriously,0.6635311761953196,0.5384752518056342,0.6983054108458923,0.125,0.0,0.0,8
4015,0.0,1.0,0.0,@makeanothahov t.o faggot crybaby,0.42991576713347546,0.4683623903480586,0.1235938332083441,0.0,0.0,0.0,4
4076,0.0,1.0,0.0,@menachemdreyfus @natlfascist88 @waspnse shit ass shabbat moms pussy u jew bastard ur times coming heil hitler,0.7001775097304114,0.7577883474273829,0.5059088447452146,0.0,0.0,0.0,16
24776,0.0,1.0,0.0,niggers,0.6360739025674186,0.5859909442565276,0.43802907178822936,0.0,0.0,0.0,1
19077,0.0,1.0,0.0,rt @harmon_lauren jenna faggot,0.39402452153562983,0.4381520554686988,0.19413982847386546,0.0,0.0,0.0,4
4767,0.0,1.0,0.0,@stevestockmantx s friggin idiot redneck teabagger constituants buy love stupid people,0.6950665506240384,0.710726714386356,0.6155685513607201,0.0,0.09090909090909091,0.0,11
7335,0.0,1.0,0.0,@xzimpx @prophzilla twitter fag retarded,0.5290121371510941,0.49627031484236966,0.3945565786873241,0.0,0.2,0.0,5
4657,0.0,1.0,0.0,@schulzgrayson @dswizzle3 oh woulda coulda shoulda ass niggas bitch ass nigga u bout oh ban wagging ass nigga catch phase,0.6677748622934873,0.7453160800738488,0.4378433850861997,0.0,0.05,0.05,20
9807,0.0,1.0,0.0,hey folk nigger loving jew boy @deuterostomes asked making death threats goat fucking people fuck,0.8520359190527954,0.7807129587068394,0.737966533743188,0.06666666666666667,0.0,0.0,15
16595,0.0,1.0,0.0,rt @nytminuscontext kill whitey,0.6147403861555505,0.5435166809952718,0.49987125269401794,0.0,0.25,0.0,4
5557,0.0,1.0,0.0,@austin_farrar fucking queer faggot bitch,0.7166340277074348,0.7386880826748332,0.4387880125481023,0.0,0.0,0.0,5
833,0.0,1.0,0.0,firefighter job white trash,0.6254947713118875,0.5346312867111238,0.6273627584267574,0.25,0.0,0.0,4
2174,0.0,1.0,0.0,aaaaaaaaand begins rt @rileydakafka fucking niggers kentucky,0.7515029483858342,0.7289600892015264,0.6736641492797873,0.0,0.0,0.0,7
184,0.0,1.0,0.0,@markroundtreejr lmfaoooo hate black people https://t.co/rnvd2nlcdr black people niggers,0.772982436973318,0.5982488941984183,0.6903851331910437,0.0,0.3333333333333333,0.1111111111111111,9
12086,0.0,1.0,0.0,johnny rebel nigger day http://t.co/jpkdkpbjxh,0.5273032212460024,0.49223034741452004,0.5014902178914936,0.0,0.0,0.0,5
14235,0.0,1.0,0.0,rt @asshole_god hate fags answer yes,0.5708746466142243,0.5904243902369763,0.4390923466398061,0.0,0.0,0.0,6
12171,0.0,1.0,0.0,u mad search bar search stupid niggers amp hop somebodys head mention lol @stonethegreat23,0.7013545287952759,0.700864765621352,0.6559304976456615,0.0,0.14285714285714285,0.07142857142857142,14
1885,0.0,1.0,0.0,"8220;@rocafella123 @waymoflydenu fleek yo vocabulary faggot""&#8221",0.378192296825832,0.4124824340283648,0.2964136097133441,0.0,0.0,0.0,6
3191,0.0,1.0,0.0,@frankiejgrande fugly queer white trash,0.5943031192531782,0.46163596270499363,0.4923732070175529,0.2,0.0,0.0,5
8904,0.0,1.0,0.0,eda queers aa lol @vbomb20 @gduenez http://t.co/gzzrzjvvlv,0.4150109696922328,0.43780228595969084,0.31237543671511225,0.0,0.0,0.0,7
